form	lemma	POS	morph
༄༅། །		PUNCT
དཔལ་	དཔལ་	OTHER
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
ཞི་བ་	ཞི་བ་	VERB
འི་	གི་	PART
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
མེ་ཤེལ་	མེ་ཤེལ་	NOUN
རབ་	རབ་	ADV
འབའ་	འབའ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།།		PUNCT
མཐའ་བྲལ་	མཐའ་བྲལ་	NOUN
དམིགས་པ་	དམིགས་པ་	VERB
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
ཤེས་རབ་	ཤེས་རབ་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
དམིགས་མེད་	དམིགས་མེད་	NO_POS
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
ཟུང་འཇུག་	ཟུང་འཇུག་	NOUN
གསལ་བ་	གསལ་བ་	VERB
འི་	གི་	PART
མདངས་	མདངས་	NOUN
། །		PUNCT
གང་	གང་	NO_POS
འདུལ་	འདུལ་	NO_POS
ཁྲོ་	ཁྲོ་	VERB
ཆགས་	ཆགས་	VERB
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
སྐུ་	སྐུ་	NOUN
བཞེངས་པ་	བཞེངས་པ་	VERB
འི་	གི་	PART
། །		PUNCT
བླ་མ་	བླ་མ་	NOUN
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
ལ་	ལ་	PART
འདུད་	འདུད་	NO_POS
། །		PUNCT
ལྷ་	ལྷ་	NOUN
མཉེས་	མཉེས་	VERB
བྱེད་	བྱེད་	VERB
ཅིང་	ཅིང་	PART
སྡིག་སྒྲིབ་	སྡིག་སྒྲིབ་	NOUN
བུང་	བུང་	NO_POS
ཤིང་	ཅིང་	PART
བསྲེགས་	བསྲེགས་	NO_POS
། །		PUNCT
གསང་སྔགས་	གསང་སྔགས་	NOUN
ནུས་	ནུས་	VERB
འབྱིན་	འབྱིན་	VERB
ཚོགས་	ཚོགས་	NOUN
གཉིས་	གཉིས་	NUM
གཟི་	གཟི་	OTHER
འབར་བ་	འབར་བ་	VERB
འི་	གི་	PART
། །		PUNCT
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
ཆོ་ག་	ཆོ་ག་	NOUN
མེ་ཤེལ་	མེ་ཤེལ་	NOUN
འདི་	འདི་	DET
ར་	ལ་	PART
གསལ་	གསལ་	VERB
བྱ་	བྱ་	VERB
། །		PUNCT
ཆོས་བདག་	ཆོས་བདག་	NO_POS
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
ཀྱིས་	གིས་	PART
དགེ་ལེགས་	དགེ་ལེགས་	OTHER
སྩོལ་	སྩོལ་	VERB
། །		PUNCT
དཔལ་	དཔལ་	OTHER
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
བསྙེན་པ་	བསྙེན་པ་	VERB
རྒྱ་	རྒྱ་	VERB
བསྡུ་	བསྡུ་	VERB
གང་རུང་	གང་རུང་	NOUN
རྫོགས་པ་	རྫོགས་པ་	VERB
འི་	གི་	PART
རྣལ་འབྱོར་པ་	རྣལ་འབྱོར་པ་	NOUN
ས་	གིས་	PART
།		PUNCT
སྔགས་	སྔགས་	NOUN
ཀྱི་	གི་	PART
ལྷག་ཆད་	ལྷག་ཆད་	NOUN
ཁ་	ཁ་	PRON
བསྐང་	བསྐང་	NO_POS
ཞིང་	ཅིང་	PART
ཉེ་	ཉེ་	VERB
ས་	གིས་	PART
སྒྲིབ་	སྒྲིབ་	NOUN
ཞི་བ་	ཞི་བ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
འི་	གི་	PART
ཕན་ཡོན་	ཕན་ཡོན་	NOUN
མང་པོ་	མང་པོ་	ADJ
དང་	དང་	NO_POS
ལྡན་པ་	ལྡན་པ་	VERB
འི་	གི་	PART
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
